id,name,type,out_strength,in_strength,betweenness
E O G Edward Owen Giblin Shann,E O G Edward Owen Giblin Shann,archive_holder,2,0,0.0
E R Eric Robertson Dodds,E R Eric Robertson Dodds,archive_holder,1,0,0.0
Edgar Ross,Edgar Ross,archive_holder,2,0,0.00015790926752129233
Edna Purdie,Edna Purdie,archive_holder,6,0,0.0014137066431309637
Edward Dyson,Edward Dyson,archive_holder,1,0,0.0
Elden De Steiger,Elden De Steiger,archive_holder,4,0,8.972117472800701e-07
Eleanor Dark,Eleanor Dark,archive_holder,20,4,0.015846956326964933
Elizabeth Cameron Dalman,Elizabeth Cameron Dalman,archive_holder,1,0,0.0
Elizabeth Harrower,Elizabeth Harrower,archive_holder,15,6,0.004225904603767231
Elizabeth Morrison,Elizabeth Morrison,archive_holder,2,1,0.0
Elizabeth Reid,Elizabeth Reid,archive_holder,2,0,0.00015790926752129233
Elizabeth Riddell,Elizabeth Riddell,archive_holder,3,1,0.0010026175023706459
Elizabeth Salter,Elizabeth Salter,archive_holder,4,3,0.001904775646028687
Ellen Frances Young,Ellen Frances Young,archive_holder,1,0,0.0
Elliot L Elliot Lovegood Grant Watson,Elliot L Elliot Lovegood Grant Watson,archive_holder,6,0,0.0009635236876826938
Elyne Mitchell,Elyne Mitchell,archive_holder,5,2,0.0013105410625513898
Enid Herring,Enid Herring,archive_holder,1,0,0.0
Eric Baume,Eric Baume,archive_holder,3,1,5.38327048368042e-06
Eric C Eric Charles Rolls,Eric C Eric Charles Rolls,archive_holder,22,0,0.005979106129023172
Eric Ernest Williams,Eric Ernest Williams,archive_holder,2,0,0.00015790926752129233
Eric Gross,Eric Gross,archive_holder,1,1,0.00015790926752129233
Eric Irvin,Eric Irvin,archive_holder,1,0,0.0
Erle Harold Cox,Erle Harold Cox,archive_holder,3,0,0.00035478744928056204
Ernest G Ernest George Moll,Ernest G Ernest George Moll,archive_holder,15,0,0.015503273187255322
Ernestine Hill,Ernestine Hill,archive_holder,2,1,0.0004982562974216305
Esme Biddulph,Esme Biddulph,archive_holder,2,0,2.9907058242669e-07
Esther Nea Smith,Esther Nea Smith,archive_holder,4,0,0.0
Ettore Rella,Ettore Rella,archive_holder,4,1,0.0004140934600463788
Eva Isaacs,Eva Isaacs,archive_holder,1,0,0.0
Eve Pownall,Eve Pownall,archive_holder,3,0,5.9814116485338e-07
F B Francis Barrymore Smith,F B Francis Barrymore Smith,archive_holder,2,0,5.9814116485338e-07
F E Frederick Edmund Emery,F E Frederick Edmund Emery,archive_holder,3,0,5.9814116485338e-07
F J H Francis Joseph Henry Letters,F J H Francis Joseph Henry Letters,archive_holder,2,0,2.9907058242669e-07
F K Francis Keble Crowley,F K Francis Keble Crowley,archive_holder,4,0,0.0
Frances Lady McNicoll,Frances Lady McNicoll,archive_holder,11,0,0.004879655421078782
Francis Adams,Francis Adams,archive_holder,4,1,0.0005269157865891494
Francis Byrne,Francis Byrne,archive_holder,5,1,0.000473727802563877
Francis James,Francis James,archive_holder,3,2,0.0035723622420749976
Francis Mrs Vidal,Francis Mrs Vidal,archive_holder,8,0,2.9907058242669e-06
Francis Philip Wallis,Francis Philip Wallis,archive_holder,4,0,1.7944234945601402e-06
Francis West,Francis West,archive_holder,19,0,0.014238538738625572
Frank Clune,Frank Clune,archive_holder,11,6,0.00772746843323191
Frank Dalby Davison,Frank Dalby Davison,archive_holder,18,11,0.014564127665799995
Frank Dixon,Frank Dixon,archive_holder,2,0,0.0
Frank Eyre,Frank Eyre,archive_holder,4,0,0.0003848775397490675
Frank Francis Joseph Hardy,Frank Francis Joseph Hardy,archive_holder,17,0,0.0053540539549968395
Frank Huelin,Frank Huelin,archive_holder,4,1,0.00048525252394098064
Frank Kellaway,Frank Kellaway,archive_holder,32,2,0.010376771487970211
Frank Moorhouse,Frank Moorhouse,archive_holder,1,7,0.006707054493613221
Frank Ryland,Frank Ryland,archive_holder,7,0,0.0008740528940287643
Fred Davison,Fred Davison,archive_holder,5,0,0.001495558611396937
Fred R Blanks,Fred R Blanks,archive_holder,18,0,0.0037669515673700383
Frederick T Frederick Thomas Macartney,Frederick T Frederick Thomas Macartney,archive_holder,1,0,0.0
Frederick W Frederick Walter Robinson,Frederick W Frederick Walter Robinson,archive_holder,3,0,5.9814116485338e-07
G C Geoffrey Colin Harcourt,G C Geoffrey Colin Harcourt,archive_holder,6,0,1.49535291213345e-06
G C Geoffrey Curgenven Bolton,G C Geoffrey Curgenven Bolton,archive_holder,12,0,0.007738422555613381
G C Gordon Clive Bleeck,G C Gordon Clive Bleeck,archive_holder,4,0,1.7944234945601402e-06
G H Gordon Hannington Luce,G H Gordon Hannington Luce,archive_holder,3,0,0.0
G J Geraldine J Walker,G J Geraldine J Walker,archive_holder,3,0,0.0014137066431309637
G W George Walter Wicking,G W George Walter Wicking,archive_holder,3,0,3.7245422140018023e-05
G W Gordon William Ford,G W Gordon William Ford,archive_holder,4,0,0.0
Garry Woodard,Garry Woodard,archive_holder,6,0,0.001680752254818333
Gary Catalano,Gary Catalano,archive_holder,12,2,0.003020733661420447
Gary Neat,Gary Neat,archive_holder,1,0,0.0
Gavin Souter,Gavin Souter,archive_holder,13,2,0.012260838338222614
Geoffrey Blainey,Geoffrey Blainey,archive_holder,4,5,0.0016490311037926219
Geoffrey Dutton,Geoffrey Dutton,archive_holder,20,26,0.05209948408820717
Geoffrey Sawer,Geoffrey Sawer,archive_holder,10,1,0.005492132175683736
George A King,George A King,archive_holder,1,0,0.0
George Caiger,George Caiger,archive_holder,3,0,0.00031581853504258466
George Collector Mackaness,George Collector Mackaness,archive_holder,57,0,0.03455196819251606
George Essex Evans,George Essex Evans,archive_holder,1,0,0.0
George Henry Haydon,George Henry Haydon,archive_holder,2,1,5.9814116485338e-07
George Johnston,George Johnston,archive_holder,1,4,0.0029444503306686937
George Mackaness,George Mackaness,archive_holder,2,2,0.0006316370700851693
George Robertson,George Robertson,archive_holder,16,3,0.006476169651850499
